sppid,f0_avg,f0_std
Bertel Haarder_V,112.60581854126647,7.0335656475264035
Carina Christensen_KF,207.3427957135926,11.420501473744439
Helle Thorning-Schmidt_S,266.19247466511086,14.08988648182712
Karen Hækkerup_S,254.10486835822434,10.585555240826595
Lene Espersen_KF,225.9444380762742,16.12939527158384
Morten Bødskov_S,126.8248251955515,10.197195406771394
Morten Messerschmidt_DF,136.11463187155744,12.596973986122704
Peter Christensen_V,163.27720911855076,16.244762454858567
Pia Olsen Dyhr_SF,224.5211423906208,17.256337081071845
Simon Emil Ammitzbøll_RV,213.6326201547992,20.292379764820318
